Training for lr 0.000702, dropouts 0.970721, beta1 0.963532, beta2 0.936078, weight_decay 0.000032
New best model acc 0.098000, lr 0.000702, dropouts 0.970721, beta1 0.963532, beta2 0.936078, weight_decay 0.000032
Training for lr 0.000702, dropouts 0.970721, beta1 0.963532, beta2 0.936078, weight_decay 0.000054
New best model acc 0.102000, lr 0.000702, dropouts 0.970721, beta1 0.963532, beta2 0.936078, weight_decay 0.000054
Training for lr 0.000702, dropouts 0.970721, beta1 0.963532, beta2 0.936078, weight_decay 0.012688
Training for lr 0.000702, dropouts 0.970721, beta1 0.963532, beta2 0.936078, weight_decay 0.551897
Training for lr 0.000702, dropouts 0.970721, beta1 0.963532, beta2 0.936078, weight_decay 0.080938
Training for lr 0.000702, dropouts 0.970721, beta1 0.963532, beta2 0.936078, weight_decay 0.000000
Training for lr 0.000001, dropouts 0.782862, beta1 0.972700, beta2 0.995743, weight_decay 2.071432
New best model acc 0.088000, lr 0.000001, dropouts 0.782862, beta1 0.972700, beta2 0.995743, weight_decay 2.071432
Training for lr 0.000001, dropouts 0.782862, beta1 0.972700, beta2 0.995743, weight_decay 0.000006
Training for lr 0.000001, dropouts 0.782862, beta1 0.972700, beta2 0.995743, weight_decay 0.000008
New best model acc 0.114000, lr 0.000001, dropouts 0.782862, beta1 0.972700, beta2 0.995743, weight_decay 0.000008
Training for lr 0.000001, dropouts 0.782862, beta1 0.972700, beta2 0.995743, weight_decay 0.021106
Training for lr 0.000001, dropouts 0.782862, beta1 0.972700, beta2 0.995743, weight_decay 0.016914
Training for lr 0.000030, dropouts 0.837782, beta1 0.911168, beta2 0.906288, weight_decay 0.000141
New best model acc 0.102000, lr 0.000030, dropouts 0.837782, beta1 0.911168, beta2 0.906288, weight_decay 0.000141
Training for lr 0.000030, dropouts 0.837782, beta1 0.911168, beta2 0.906288, weight_decay 0.000435
Training for lr 0.000030, dropouts 0.837782, beta1 0.911168, beta2 0.906288, weight_decay 0.004839
Training for lr 0.000030, dropouts 0.837782, beta1 0.911168, beta2 0.906288, weight_decay 0.001205
New best model acc 0.103000, lr 0.000030, dropouts 0.837782, beta1 0.911168, beta2 0.906288, weight_decay 0.001205
Training for lr 0.000030, dropouts 0.837782, beta1 0.911168, beta2 0.906288, weight_decay 0.000026
Training for lr 0.000030, dropouts 0.837782, beta1 0.911168, beta2 0.906288, weight_decay 0.000000
Training for lr 0.000030, dropouts 0.837782, beta1 0.911168, beta2 0.960422, weight_decay 0.000141
Training for lr 0.000118, dropouts 0.818501, beta1 0.985936, beta2 0.996025, weight_decay 3.016743
New best model acc 0.205000, lr 0.000118, dropouts 0.818501, beta1 0.985936, beta2 0.996025, weight_decay 3.016743
Training for lr 0.000118, dropouts 0.818501, beta1 0.985936, beta2 0.996025, weight_decay 5.862741
Training for lr 0.000118, dropouts 0.818501, beta1 0.985936, beta2 0.996025, weight_decay 0.001177
