Training for lr 0.000306, dropouts 0.115252, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000117, dropouts 0.564721, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
New best model acc 0.425000, lr 0.000117, dropouts 0.564721, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000117, dropouts 0.353279, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
New best model acc 0.617000, lr 0.000117, dropouts 0.353279, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000117, dropouts 0.102661, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
New best model acc 0.716000, lr 0.000117, dropouts 0.102661, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000117, dropouts 0.425367, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000117, dropouts 0.004115, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
New best model acc 0.740000, lr 0.000117, dropouts 0.004115, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000117, dropouts 0.114405, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000117, dropouts 0.116258, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000117, dropouts 0.525006, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000117, dropouts 0.291946, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000117, dropouts 0.057224, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000117, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000456, dropouts 0.564721, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000456, dropouts 0.353279, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000456, dropouts 0.102661, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
New best model acc 0.771000, lr 0.000456, dropouts 0.102661, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000456, dropouts 0.425367, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000456, dropouts 0.004115, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
New best model acc 0.775000, lr 0.000456, dropouts 0.004115, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000456, dropouts 0.114405, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000456, dropouts 0.116258, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000456, dropouts 0.525006, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000456, dropouts 0.291946, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000456, dropouts 0.057224, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
New best model acc 0.777000, lr 0.000456, dropouts 0.057224, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000456, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000002, dropouts 0.564721, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000002, dropouts 0.353279, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000002, dropouts 0.102661, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000002, dropouts 0.425367, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000002, dropouts 0.004115, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000002, dropouts 0.114405, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000002, dropouts 0.116258, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000002, dropouts 0.525006, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000002, dropouts 0.291946, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000002, dropouts 0.057224, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000002, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001048, dropouts 0.564721, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001048, dropouts 0.353279, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.001048, dropouts 0.102661, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
